Len	LD
5469	1.0
5322	1.0
5299	1.0
5289	1.0
5288	1.0
5287	1.0
5278	0.1667
5267	1.0
5266	1.0
5189	1.0
5175	1.0
5132	1.0
5130	1.0
5107	1.0
5063	1.0
5062	1.0
5029	1.0
5011	1.0
5009	1.0
4935	0.0476
4925	1.0
4803	1.0
4798	1.0
4665	1.0
4611	1.0
4602	1.0
4598	1.0
4528	1.0
4333	1.0
4304	1.0
4303	1.0
4239	1.0
4172	1.0
4047	1.0
4039	1.0
4038	1.0
4029	0.1667
4023	0.0476
3705	1.0
3578	1.0
3570	1.0
3563	1.0
3536	1.0
3239	1.0
3114	1.0
3112	1.0
3097	1.0
3092	0.3333
2774	1.0
2649	1.0
2632	1.0
2613	1.0
2604	0.1667
2419	1.0
2320	1.0
2309	1.0
2293	1.0
2254	1.0
2229	1.0
2173	1.0
1896	1.0
1810	1.0
1290	1.0
1185	1.0
1128	0.2
1103	1.0
1035	1.0
804	1.0
777	1.0
553	1.0
721	1.0
1635	1.0
1652	1.0
1656	1.0
1798	1.0
2248	1.0
2383	1.0
2455	1.0
2680	1.0
3335	1.0
3653	1.0
4208	1.0
4916	1.0
5903	1.0
6033	1.0
6072	1.0
6215	1.0
7018	1.0
7417	1.0
8293	1.0
8588	1.0
9119	1.0
9159	0.5
9372	1.0
9700	1.0
7588	0.0
7539	1.0
7383	0.2
7355	1.0
7354	1.0
7353	1.0
7343	1.0
7335	1.0
7334	1.0
7317	1.0
7259	1.0
7250	1.0
7249	1.0
7242	1.0
7241	0.3333
7232	1.0
7224	1.0
7179	0.0
7178	0.0
7136	1.0
7106	1.0
7105	1.0
7094	0.3333
7006	1.0
6889	1.0
6823	1.0
6822	1.0
6821	1.0
6818	0.5
6761	0.5
6651	1.0
6637	1.0
6594	0.2
6526	1.0
6525	1.0
6492	0.3333
6474	0.5
6472	0.2
6398	0.0
6388	1.0
6267	1.0
6266	1.0
6246	0.3333
6099	1.0
6076	0.3333
6066	1.0
6065	1.0
6064	1.0
6055	0.5
6044	1.0
6043	1.0
5966	1.0
5952	1.0
5909	1.0
5907	1.0
5884	1.0
5840	1.0
5839	1.0
5806	1.0
5788	0.5
5786	0.5
5712	0.3333
5702	1.0
5580	1.0
5575	1.0
5442	1.0
5388	0.5
5379	0.5
5375	0.0
5305	1.0
5110	1.0
5081	1.0
5080	1.0
5016	1.0
4949	1.0
4824	1.0
4816	1.0
4815	1.0
4806	0.5
4800	1.0
4482	1.0
4355	1.0
4347	1.0
4340	0.3333
4313	0.3333
4016	1.0
3891	0.5
3889	0.5
3874	1.0
3869	0.2
3551	1.0
3426	1.0
3409	1.0
3390	0.5
3381	0.5
3196	1.0
3097	1.0
3086	1.0
2846	1.0
2807	1.0
2782	1.0
2726	1.0
2449	1.0
2363	1.0
1843	1.0
1738	1.0
1681	1.0
1656	1.0
1588	1.0
1357	1.0
1330	1.0
553	1.0
168	1.0
1082	1.0
1099	1.0
1103	1.0
1245	1.0
1695	1.0
1830	1.0
1902	1.0
2127	1.0
2782	1.0
3100	1.0
3655	1.0
4363	1.0
5350	1.0
5480	1.0
5519	1.0
5662	1.0
6465	1.0
6864	1.0
7740	1.0
8035	1.0
8566	1.0
8606	0.1667
8819	1.0
9279	1.0
8141	1.0
8092	1.0
7936	1.0
7908	1.0
7907	1.0
7906	1.0
7896	1.0
7888	1.0
7887	1.0
7870	1.0
7812	1.0
7803	1.0
7802	1.0
7795	1.0
